YEAR,UPC,DOLLARS,UNITS
2011,00-03-72600-00142,10483.01,3212
2012,00-01-70271-00363,10464.57,1563
2011,00-01-16000-42373,10445.26,4351
2012,88-01-99998-85757,10437.3,10475
2012,00-01-72600-01129,10437.15,10545
2011,00-02-77817-14215,10432.49,3683
2012,08-01-55983-00259,10391.87,1683
2012,08-01-37654-92471,10372.26,1982
2012,88-01-99998-84932,10354.1,3781
2011,00-04-72600-00550,10345.72,10454
2012,00-01-41262-28409,10321.39,4827
2012,08-01-54615-00230,10317.17,1244
2011,00-01-41262-28179,10307.11,4432
2012,00-01-77079-00810,10235.8,10357
2012,00-01-41262-28354,10212.73,4895
2012,00-01-72600-00326,10207.8,4184
2011,00-01-77975-08901,10155.53,4972
2012,88-01-99998-83680,10130.8,4553
2012,00-01-30000-27163,10105.44,4888
2011,00-01-11594-10034,10094.37,3954
2012,00-03-70273-20204,10093.6,4607
2012,00-01-71487-99950,10086.99,4051
2011,00-01-77975-08789,10075.220000000001,3673
2011,00-02-41780-00195,10067.57,10090
2012,00-02-41780-01317,10051.91,3082
2012,00-01-28400-03454,10042.54,3363
2012,00-01-30000-15026,10026.96,6352
2012,00-01-71146-00246,10012.62,5227
2012,00-01-72600-00856,9987.51,3705
2012,00-01-11594-10034,9963.35,3906
2011,00-01-37000-18506,9918.39,19626
2011,00-01-41780-02232,9916.78,1612
2011,00-01-84114-11728,9899.4,3381
2011,88-04-99998-10497,9883.5,3955
2012,88-01-99998-85286,9881.84,7093
2011,00-02-41780-01272,9864.14,1616
2012,00-01-41780-01176,9861.26,1007
2012,00-01-72600-04100,9807.94,3769
2011,00-01-41331-04939,9790.24,3858
2011,00-01-41262-28108,9788.460000000001,4848
2012,00-01-41780-02007,9780.0,4890
2011,88-04-99998-11120,9755.14,3467
2011,00-01-26200-47159,9752.58,11811
2011,88-04-99998-09878,9745.29,7491
2011,00-01-16000-15810,9730.33,3920
2011,00-02-16000-16060,9718.3,2651
2011,07-01-28229-23456,9717.36,2740
2011,00-03-77975-02280,9712.22,3468
2011,00-02-15665-17980,9706.18,3905
2011,00-01-41780-00254,9704.380000000001,3323
2011,00-01-15839-00797,9662.11,3135
2011,00-01-72466-75000,9632.48,1974
2012,00-02-77817-15840,9617.380000000001,3085
2012,08-01-14226-01092,9555.47,2897
2012,00-01-41262-28171,9552.33,4601
2011,88-04-99998-10146,9551.89,4171
2012,08-01-52834-00200,9520.26,2744
2012,00-01-72600-00273,9514.65,2866
2011,07-01-28229-45680,9498.94,1806
2011,00-04-72466-94777,9495.77,6373
2012,00-01-16000-15810,9491.210000000001,3693
2011,00-01-28400-02503,9478.97,3264
2012,08-01-97463-00116,9478.95,1935
2011,88-04-99998-10285,9468.92,5098
2011,88-04-99998-10575,9455.24,4835
2011,08-01-93594-00208,9440.5,5659
2011,00-04-28400-01307,9419.89,3748
2011,00-01-77817-16820,9417.19,3419
2012,88-01-99998-84460,9414.19,4111
2012,00-02-41780-01272,9390.73,1490
2011,00-02-41780-00356,9351.66,7991
2012,08-01-54137-00050,9321.34,1636
2011,00-01-64144-10070,9320.15,2862
2012,00-02-28400-07903,9311.17,8572
2011,00-01-77975-08902,9309.88,4461
2011,00-03-15665-60104,9303.4,7991
2012,88-01-99998-84682,9288.91,4184
2012,00-01-28400-03689,9282.46,7396
2012,00-01-16000-15110,9276.91,3549
2012,00-01-41780-01231,9271.58,3157
2012,00-01-37000-48100,9255.039999999999,5643
2012,00-01-73490-13087,9240.6,8217
2011,07-02-55355-00117,9214.64,3263
2011,00-01-77544-80600,9199.04,4370
2012,00-02-28400-07874,9183.32,8438
2012,00-01-27000-52321,9176.58,3323
2012,00-02-41780-00084,9176.34,9272
2011,88-05-99998-13206,9165.96,6133
2011,00-01-16000-15110,9162.17,3664
2011,00-02-28400-08447,9140.32,3080
2012,00-01-72600-00945,9137.01,1357
2011,00-03-15839-00002,9120.710000000001,3149
2011,00-01-78907-45037,9084.6,3302
2012,88-01-99998-86071,9082.35,5810
2011,06-01-78523-04012,9075.54,2116
2012,00-04-77975-02265,9067.710000000001,3397
2011,00-03-77817-28606,9064.91,9031
2012,08-01-52772-00179,9021.26,1694
2011,88-04-99998-10284,9015.64,4604
2012,00-01-26200-47159,9000.25,10988
2011,88-04-99998-10581,8994.31,8075
2012,88-01-99998-86115,8988.18,3595
2011,88-04-99998-10718,8987.54,4198
2012,00-04-41262-27337,8975.34,9066
2012,00-01-24100-36832,8963.78,3226
2011,00-02-41262-28142,8953.26,3573
2011,00-01-16000-16951,8934.99,3115
2011,00-03-90939-02555,8929.52,3588
2011,00-01-41780-01417,8909.75,3576
2011,88-04-99998-10717,8900.49,4175
2012,06-01-42524-12527,8888.539999999999,4009
2012,88-01-99998-84135,8888.289999999999,6411
2012,00-03-41780-00356,8872.3,8045
2011,88-04-99998-11554,8849.03,4825
2011,07-02-28229-01290,8839.9,1600
2011,08-01-91803-00174,8825.33,3525
2011,00-04-41262-27299,8811.81,8992
2012,00-01-73731-08103,8807.22,3498
2012,00-01-28400-03884,8800.89,3274
2011,00-01-72995-01103,8791.7,5940
2011,07-02-28229-67893,8791.56,2448
2012,08-02-91056-00002,8783.61,527
2012,08-01-92773-00060,8758.64,2812
2011,00-01-77975-08900,8758.08,4238
2011,00-01-15839-00940,8752.710000000001,3034
2012,00-01-28400-08758,8744.12,17652
2011,00-01-72600-00273,8741.92,2626
2012,00-01-28400-07121,8709.79,2935
2011,00-01-41262-28329,8703.06,4590
2012,00-01-72600-03303,8677.55,2661
2012,88-01-99998-83926,8663.34,4267
2011,00-01-72600-00170,8656.62,2650
2012,88-01-99998-84613,8648.93,4387
2011,08-01-56435-00149,8640.54,2557
2012,00-04-72466-94777,8622.68,5786
2011,06-01-78523-04008,8605.62,1998
2011,00-02-41262-28172,8588.18,1356
2012,00-01-37000-23013,8585.26,4711
2012,88-01-99998-83640,8583.69,4565
2012,00-04-72600-00550,8565.49,8655
2011,00-01-27393-00965,8560.35,5943
2012,00-01-72600-00546,8553.03,2138
2011,88-04-99998-10329,8541.25,3148
2012,00-02-77544-80620,8536.53,13220
2011,88-04-99998-10374,8535.69,3289
2011,00-01-41780-00058,8529.07,3482
2012,00-01-41780-01291,8523.7,2931
2011,08-01-52772-00179,8511.64,1657
2011,00-01-72600-00545,8508.15,2256
2012,07-01-65667-11020,8449.26,5846
2012,00-02-41262-28211,8436.51,8549
2011,00-01-28400-08758,8415.53,17279
2011,00-01-72466-51150,8399.13,5637
2011,88-04-99998-09570,8391.05,6445
2011,00-01-41780-00366,8361.09,4671
2012,00-01-15839-00823,8352.1,2010
2012,88-01-99998-84993,8346.49,3344
2011,00-01-41262-28116,8321.8,3853
2012,08-01-91803-00174,8307.73,3407
2012,00-01-41331-04935,8304.0,4680
2011,00-01-41780-01317,8301.58,2461
2011,06-01-35992-04310,8301.039999999999,2828
2011,00-01-41262-27640,8293.75,8443
2012,08-01-91803-02143,8289.130000000001,1785
2011,00-02-36593-90006,8283.460000000001,2254
2012,00-01-41331-04939,8252.36,2972
2011,00-02-72600-00925,8249.59,3207
2011,88-04-99998-09479,8234.289999999999,8640
2011,00-01-41780-01278,8232.77,2980
2011,08-01-90444-00058,8226.66,3654
2011,00-01-16000-28350,8220.45,2115
2011,88-04-99998-11447,8199.17,3106
2012,00-02-28400-07905,8151.9400000000005,7505
2011,00-01-70740-54110,8140.74,3356
2012,00-02-20685-28401,8138.97,1773
2012,00-01-20685-00039,8128.82,2664
2012,00-01-78907-45037,8107.9400000000005,2794
2012,00-04-41262-27299,8106.39,8272
2011,88-04-99998-10556,8098.84,3244
2012,88-01-99998-86266,8094.67,4883
2011,00-08-77817-16170,8084.44,1356
2012,88-01-99998-85202,8060.0,4031
2011,00-04-72600-00829,8055.33,7611
2012,00-01-16000-28350,8048.28,2212
2012,07-01-58259-00148,8047.68,3232
2011,00-01-41262-28214,8041.11,8170
2012,00-01-16000-14634,8034.54,2885
2011,06-01-47671-00020,8034.3,1882
2011,08-01-91803-00172,8006.77,3255
2012,88-01-99998-85241,7977.35,3728
2011,08-02-91056-00002,7976.23,477
2012,00-01-16000-16951,7967.33,2621
2012,00-01-84114-11728,7955.47,2680
2011,00-01-81864-00260,7944.35,3579
2011,00-01-11594-10042,7939.09,3109
2012,88-01-99998-85113,7935.54,6273
2011,00-02-77975-02026,7917.990000000001,2463
2011,00-01-41780-03167,7878.79,3186
2011,07-01-55355-00527,7876.13,1327
2012,08-01-91803-00115,7872.52,2926
2011,00-01-41331-04935,7865.93,4623
2012,00-01-20685-00033,7853.05,2436
2012,00-03-41780-00195,7852.85,7919
2012,07-01-28229-23456,7851.53,2120
2012,00-01-11594-10033,7842.93,3113
2011,88-04-99998-11351,7816.93,4243
2012,07-01-57528-00879,7816.84,6103
2012,08-01-91552-00202,7810.43,2313
2011,88-05-99998-13200,7807.64,3623
2012,00-01-41262-28108,7803.0,3925
2012,00-02-70415-10715,7797.47,6511
2012,88-01-99998-83683,7782.84,3481
2011,00-01-70271-00620,7773.0,1265
2012,00-04-72600-00829,7772.86,7128
2012,00-02-84114-03238,7765.5,1670
2011,00-03-15839-00500,7764.12,2317
2012,00-01-77975-02025,7747.530000000001,2438
2011,00-01-72670-02067,7742.91,8189
2012,00-01-85229-10050,7737.58,1862
2011,00-05-41262-28620,7730.82,7469
2012,88-01-99998-86225,7725.84,4209
2012,00-01-72466-51150,7721.49,5182
2012,88-01-99998-85027,7706.2300000000005,3635
2012,00-01-37000-48097,7691.18,4639
2012,00-01-84114-11803,7689.59,2567
2012,00-01-82666-70099,7678.21,3272
2012,00-01-15839-00825,7677.25,1935
2011,00-01-11594-10033,7664.86,3009
2011,07-01-11575-10210,7653.71,4499
2011,00-01-71487-99950,7630.23,3477
2011,00-02-28400-02186,7613.04,3028
2011,00-03-41780-00035,7581.8,7535
2011,00-03-41780-00127,7575.38,2648
2011,00-01-72600-00320,7572.79,3180
2012,00-01-21908-81264,7570.71,2877
2012,00-01-72600-00324,7570.04,3119
2012,00-01-72600-00170,7567.92,2339
2012,00-01-28400-09749,7552.6900000000005,6976
2011,00-01-16000-16554,7549.57,7533
2011,00-01-71487-99951,7549.5199999999995,3498
2012,00-03-78516-00013,7542.8,4587
2012,00-01-28400-08768,7530.84,15212
2012,08-01-91552-00200,7523.650000000001,2211
2011,07-01-55355-10303,7518.72,3125
2011,08-01-91552-00202,7508.4800000000005,2512
2012,00-01-72600-00545,7502.17,1864
2012,00-01-28400-08302,7497.7,1745
2012,00-02-72600-00925,7484.56,2744
2012,07-01-80994-65323,7468.61,339
2011,00-01-84114-11585,7458.57,2285
2012,00-01-27000-52320,7457.56,2734
2011,00-02-41780-00212,7447.64,2507
2011,00-02-15839-00795,7447.42,2446
2012,08-01-52772-00120,7440.4400000000005,2712
2011,88-04-99998-10364,7436.03,3360
2011,00-01-41780-01258,7435.51,2696
2011,08-01-54137-00050,7433.48,1322
2011,00-01-41780-00145,7433.09,7339
2011,07-03-28229-12350,7428.39,1925
2011,00-01-16000-28162,7426.05,2638
2012,00-01-41780-07459,7413.74,1218
2011,88-04-99998-11510,7405.88,3833
2012,07-02-28229-01290,7362.03,1258
2012,08-01-55564-00302,7358.22,2351
2011,00-01-15839-00847,7355.0199999999995,2270
2011,00-01-26200-47158,7348.16,8902
2012,00-01-81864-00260,7338.49,2946
2012,08-01-43571-00234,7330.26,2160
2012,00-04-41780-00377,7286.91,2877
2012,08-01-99711-00230,7284.5,2672
2012,08-01-92773-00086,7281.41,2196
2012,00-04-41780-00173,7278.83,967
2012,00-01-77975-08789,7277.7300000000005,2735
2012,88-01-99998-85759,7275.44,3964
2011,08-01-97463-00116,7272.56,1785
2012,00-01-41262-28351,7263.99,3665
2011,00-02-72600-00332,7242.3,3226
2012,00-01-71487-99951,7238.43,2907
2012,00-01-26200-47158,7225.780000000001,8843
2012,00-02-12400-00632,7216.9,2458
2012,00-01-41262-28211,7213.73,7301
2012,00-04-77817-28606,7195.78,7142
2012,08-01-54137-00060,7185.46,1785
2011,00-01-72600-00160,7179.27,7259
2011,00-01-41780-00302,7158.96,5022
2012,07-01-11575-10210,7157.18,3690
2011,00-02-28400-07893,7156.91,7060
2011,00-01-26200-47161,7139.99,7215
2011,00-01-15839-00823,7129.11,1790
2011,00-01-73490-13088,7125.8,6476
2012,00-01-27393-00950,7120.29,5257
2012,00-01-73731-08202,7081.01,2720
2012,00-01-72600-00320,7078.42,2952
2011,00-01-41780-02302,7077.54,3742
2011,00-01-23637-42713,7054.47,2677
2011,00-01-37000-23040,7039.43,4129
2012,00-01-84114-11585,7013.900000000001,2328
2012,00-01-77544-80600,7007.87,3487
2011,08-01-91552-00200,6989.89,2340
2011,88-04-99998-11451,6982.55,4412
2011,00-02-72600-00185,6981.72,2134
2011,08-01-56435-00152,6969.7,2106
2012,00-01-37000-81053,6968.87,2276
2012,00-01-41262-28139,6967.17,1233
2011,00-01-15839-00882,6960.55,2152
2011,00-01-11594-10035,6958.36,2733
2011,00-01-28400-09795,6953.63,5480
2011,00-01-28400-08768,6948.68,14238
2012,00-02-36593-90006,6936.1900000000005,1597
2012,08-01-15871-01000,6935.87,3508
2012,08-01-52772-00101,6930.25,2530
2011,00-01-41780-02355,6928.69,3474
2011,00-01-72600-01587,6924.65,3071
2011,88-04-99998-10478,6918.43,2646
2012,07-01-24923-10500,6915.13,1710
2012,00-01-72600-01231,6914.62,2082
2011,00-04-41780-00364,6903.65,6975
2011,00-01-28400-01179,6901.9800000000005,2714
2012,00-03-41262-28214,6900.96,7025
2011,06-01-35992-04300,6895.5199999999995,2377
2011,00-01-41780-00188,6890.6900000000005,2815
2011,00-01-41780-03160,6887.96,3226
2012,88-01-99998-84913,6882.93,2643
2011,00-01-48564-00123,6881.13,5861
2011,00-01-48564-00118,6871.49,2159
2011,00-01-28400-00571,6870.85,2602
2012,00-01-48564-00118,6853.9800000000005,2096
2011,00-02-72600-00359,6851.4,2490
2011,00-02-41780-01437,6847.29,2765
2011,00-01-20685-08582,6844.68,1382
2012,00-04-41780-00075,6840.76,6908
2012,00-04-15839-00001,6837.95,2334
2012,08-01-14226-01106,6829.62,1508
2012,00-05-41262-27337,6812.44,6888
2012,88-01-99998-83649,6807.56,6605
2011,00-05-72600-00085,6783.71,6641
2011,07-01-24923-10300,6783.59,1661
2012,08-01-50251-00402,6780.86,1095
2012,00-01-16000-41883,6779.34,2276
2012,00-01-70273-20306,6773.34,3119
2012,00-01-72600-00388,6773.0,3072
2011,00-01-72600-00930,6769.06,1907
2012,00-01-11594-10035,6766.43,2695
2011,00-01-15839-00825,6757.07,1786
2011,00-01-41780-02297,6744.53,1885
2012,07-03-28229-67893,6734.39,1685
2012,00-03-41780-00127,6733.12,2654
2012,00-02-72600-00160,6729.03,6797
2012,00-01-28400-05663,6721.71,2746
2012,00-01-16000-28791,6717.88,2249
2011,08-01-99711-00230,6712.5,2685
2011,00-01-74323-02753,6711.86,5597
2012,00-01-41780-01417,6692.11,2784
2011,00-01-28400-07997,6690.06,5194
2011,88-04-99998-10756,6683.4,5021
2012,88-01-99998-83645,6678.61,3551
2011,00-04-28400-02211,6646.4800000000005,2684
2011,00-01-73490-13087,6645.0,6104
2012,00-01-72600-10383,6644.95,2998
2012,00-02-41780-00120,6641.67,2605
2012,00-02-30000-15026,6638.89,4055
2011,07-01-24923-10500,6626.83,1627
2012,00-01-70271-00620,6623.93,957
2011,00-01-77817-11995,6622.93,2447
2012,00-01-28400-00754,6615.41,2451
2011,00-01-72600-00327,6613.15,2749
2011,00-01-18195-50000,6606.85,2298
2011,07-01-80994-65323,6602.61,315
2012,08-01-54137-88888,6596.42,1349
2012,08-01-93594-00213,6589.5199999999995,3332
2011,08-01-54137-00071,6566.56,1644
2012,00-08-77817-16170,6547.07,1093
2012,00-01-15839-00765,6540.36,1664
2012,88-01-99998-84336,6534.72,4708
2011,00-01-41262-28418,6530.6,6652
2011,00-01-71026-00111,6523.72,6539
2012,08-01-91672-00002,6523.16,3293
2012,06-02-35992-04300,6512.09,2134
2012,00-01-41780-00058,6506.68,2541
2012,00-03-77817-28606,6488.18,6453
2011,00-01-28400-07869,6483.31,6382
2012,00-07-28400-00753,6480.59,2367
2012,00-01-83791-55001,6477.28,3088
2011,00-04-72600-00304,6472.85,6544
2011,00-02-41262-27649,6467.26,6525
2012,88-01-99998-85938,6465.49,4529
2011,00-01-77817-10730,6461.57,6475
2011,07-01-55355-10300,6455.99,2594
2012,00-02-72600-00930,6419.8,1953
2011,00-01-64144-10974,6413.34,5212
2011,00-01-41780-00202,6394.79,2132
2011,00-01-28400-04769,6385.29,2537
2011,88-04-99998-10375,6381.57,2156
2012,07-02-55355-00513,6362.25,1276
2012,88-01-99998-86116,6360.26,2464
2011,88-05-99998-52671,6357.14,4004
2011,88-04-99998-09481,6356.85,3282
2012,08-01-14226-01091,6353.93,1931
2011,00-01-16000-41883,6353.69,2418
2011,00-01-77975-08588,6347.85,2293
2011,07-02-54918-08198,6321.61,1693
2011,00-04-77975-02265,6307.82,2491
2011,08-01-43571-00234,6305.12,1941
2012,88-01-99998-85955,6298.8,4140
2011,88-04-99998-11592,6297.56,4480
2011,88-04-99998-10555,6293.81,2519
2011,00-01-16000-28345,6289.89,2760
2012,88-01-99998-84609,6286.03,3145
2011,00-01-28400-02813,6279.4,6443
2012,00-01-41780-00145,6277.94,6185
2012,08-01-55564-00303,6265.86,2018
2011,88-04-99998-09482,6263.24,2247
2011,00-05-78516-00023,6261.72,3891
2012,00-02-16000-16060,6261.42,1637
2012,00-05-41262-27649,6257.64,6325
2012,00-01-41780-02087,6252.0,3126
2011,00-02-77817-14159,6248.24,6270
2011,00-03-28400-08060,6240.67,2393
2011,88-04-99998-11417,6236.02,3833
2012,88-01-99998-84673,6232.55,2913
2012,00-02-41780-01125,6217.36,6244
2012,08-01-55983-00283,6213.72,1013
2011,00-03-41262-27050,6212.39,6083
2011,00-02-41262-28454,6200.57,2882
2012,00-01-23637-42705,6189.38,2147
2012,00-01-41780-00366,6182.66,3454
2011,00-02-28558-61802,6177.45,1650
2011,88-04-99998-10538,6163.01,2469
2012,00-02-77817-13015,6159.63,1866
2011,08-01-29515-30756,6158.53,2459
2011,00-04-41780-00258,6156.41,2338
2012,00-01-15839-00954,6155.36,1984
2011,08-01-91803-02143,6132.06,1247
2011,00-01-15839-00765,6120.71,1639
2012,07-01-57528-00868,6107.22,2566
2012,00-01-36593-03202,6105.38,1882
2012,88-01-99998-84612,6097.72,2446
2011,00-01-72670-02066,6090.62,6483
2012,00-01-41780-02232,6076.42,922
2011,00-04-78516-00033,6076.400000000001,3742
2011,00-01-84114-10815,6070.13,1919
2012,07-01-12276-20020,6068.7,6130
2012,00-04-72600-00304,6067.55,6134
2011,00-02-72600-00183,6066.97,1704
2012,00-01-64144-10630,6042.150000000001,1912
2012,88-01-99998-85026,6030.63,3397
2012,88-01-99998-85501,6019.38,3318
2011,00-02-28400-09752,5980.2300000000005,5957
2012,00-01-15839-00882,5967.0,1727
2012,00-02-64144-10690,5962.3,4951
2012,08-01-91803-00117,5953.71,2209
2011,00-01-84114-11803,5952.92,2106
2011,06-01-35992-04440,5942.93,2253
2012,00-02-30000-15027,5938.31,3577
2012,00-03-41780-00035,5931.55,5938
2011,88-04-99998-11531,5921.55,3056
2011,00-01-16000-13680,5916.9,1561
2012,00-04-28400-00645,5899.5,2539
2012,88-01-99998-84698,5883.9,1975
2011,00-02-41780-00382,5877.38,5782
2011,00-02-72600-00961,5870.21,1633
2012,00-02-41780-00212,5853.49,1933
2011,00-04-41780-00197,5840.59,789
2012,00-01-26200-47161,5825.16,5884
2012,00-04-72600-00660,5819.24,5618
2012,00-03-15839-00561,5800.37,1982
2011,00-01-73416-03532,5777.77,1911
2012,08-01-43571-00171,5768.04,1551
2012,00-01-28400-09984,5763.43,2875
2012,08-01-50668-00081,5751.41,2028
2011,00-01-28400-03221,5747.52,1624
2012,08-02-29515-30050,5743.49,1151
2012,00-01-41780-00188,5737.9800000000005,2197
2012,00-02-77975-02026,5735.18,1839
2012,00-01-41780-00254,5720.35,1885
2011,08-01-29515-30754,5713.34,2275
2012,08-01-14226-01105,5712.72,1271
2011,08-01-54137-00060,5709.07,1433
2012,00-01-27393-00965,5702.81,4088
2012,00-01-72600-00277,5687.03,1703
2011,00-01-37000-26780,5686.9,3368
2012,88-01-99998-86089,5682.87,813
2011,88-04-99998-11594,5667.58,2342
2012,00-02-28400-08767,5656.43,11419
2012,00-01-41262-28323,5645.11,2726
2011,00-01-41262-28213,5642.93,5748
2011,88-04-99998-09678,5642.37,4343
2012,00-04-41780-00364,5640.03,5697
2011,00-01-41780-01427,5619.3,2256
2011,08-01-14226-01040,5614.45,2227
2011,07-01-57645-00840,5607.91,2064
2012,00-02-72600-00185,5594.59,1706
2011,00-02-15839-00797,5573.7300000000005,1946
2012,00-04-28400-06911,5569.6,2153
2012,07-01-28229-01325,5568.67,1414
2012,07-03-28229-12350,5566.64,1379
2011,08-01-54088-00105,5554.03,2206
2011,88-04-99998-10571,5544.5,3275
2012,00-02-41780-02006,5540.0,2770
2012,88-01-99998-86313,5535.63,2208
2012,88-01-99998-84604,5532.15,2773
2011,00-01-72600-01231,5526.33,1657
2011,07-01-56702-13261,5525.68,4932
2012,08-01-29515-30754,5507.13,2097
2012,06-01-78523-04016,5506.89,1371
2011,00-01-28400-03878,5501.55,1838
2011,00-01-41780-00264,5496.7300000000005,1878
2011,00-01-16000-15135,5480.84,2224
2011,00-02-70415-10715,5478.87,4420
2011,00-03-77817-23376,5470.03,2122
2012,00-03-72600-00183,5464.75,1653
2012,08-01-55564-00304,5460.08,1769
2012,00-01-41780-02355,5457.8,2397
2012,00-01-84114-10815,5457.28,1732
2011,00-01-70273-20306,5456.25,2685
2011,00-01-74323-07819,5425.88,2463
2012,88-01-99998-85238,5425.04,3048
2011,00-01-26200-47160,5413.6,5470
2012,00-01-23637-42706,5406.96,1872
2011,88-04-99998-11360,5400.25,1936
2012,00-01-90939-02125,5396.93,4357
2012,00-01-41262-28179,5394.55,2370
2012,00-03-41262-27640,5389.73,5448
2011,00-02-77817-13015,5385.85,1721
2012,00-01-77817-10730,5382.99,5370
2011,88-04-99998-10149,5374.63,2347
2012,00-01-41780-02302,5357.26,2583
2011,00-01-41780-01084,5346.75,2335
2011,00-01-36593-90007,5343.49,1361
2012,00-03-41780-00075,5342.83,5345
2011,00-02-77975-02808,5326.92,1394
2012,08-01-55296-00303,5322.35,2123
2011,00-04-72600-00204,5294.34,5348
2011,00-03-41262-28216,5292.68,5350
2011,00-01-72600-02589,5290.79,2166
2012,00-01-77817-16820,5274.09,1909
2012,08-01-52772-00156,5273.2300000000005,1972
2012,00-01-73416-03532,5267.57,1766
2011,00-01-41331-04941,5259.75,3006
2011,88-04-99998-10864,5251.88,2720
2011,00-02-41262-28440,5249.6,4998
2011,08-01-43571-00171,5245.52,1335
2012,07-01-28229-45680,5240.03,917
2011,00-01-28400-00446,5238.79,1421
2012,00-02-84114-10813,5234.48,1637
2012,88-01-99998-84607,5217.5599999999995,2395
2011,00-02-28400-08767,5192.23,10691
2012,00-01-82666-71106,5189.64,1736
2012,00-01-16000-42198,5183.16,1890
2012,00-03-72600-00142,5178.25,1580
2012,00-01-36593-30001,5176.31,1844
2012,07-01-28229-13056,5169.94,1381
2012,88-01-99998-86077,5166.07,3298
2012,00-01-82666-71100,5164.32,3968
2012,08-01-29515-30756,5160.86,1998
2011,00-01-72600-00277,5160.36,1542
2011,00-05-70415-10156,5152.17,4148
2012,00-01-37000-23040,5151.35,3175
2011,00-01-72600-01945,5150.18,2126
2011,00-01-36593-30001,5148.45,1776
2012,00-01-28400-08765,5147.09,10398
2011,08-01-29515-30750,5146.08,2006
2011,07-03-54918-08102,5138.99,1685
2012,00-01-41780-02067,5132.97,2568
2011,88-04-99998-10289,5132.01,1609
2012,00-01-36593-90007,5125.13,1205
2012,00-01-16000-28051,5115.7,1462
2012,00-05-70415-10156,5110.81,4280
2011,00-01-37000-26777,5110.24,3032
2012,00-01-41262-28180,5107.69,2308
2012,00-01-41780-01117,5094.22,1526
2011,07-01-28229-01372,5089.84,1341
2012,00-06-28400-01040,5083.2,3934
2012,00-02-15665-17980,5082.68,1923
2012,08-01-91056-00028,5082.63,304
2012,00-02-41262-28214,5080.46,5163
2011,88-04-99998-11428,5080.41,659
2011,00-01-37000-26740,5078.38,2999
2012,08-01-97580-00051,5070.26,1234
2011,00-02-72600-00728,5067.86,2181
2011,07-01-28229-13056,5065.37,1333
2012,00-01-77817-11995,5065.16,2152
2012,00-01-72600-08106,5061.81,755
2011,00-01-28400-00313,5058.36,2552
2011,00-04-41780-00386,5056.91,1879
2011,00-03-41780-00097,5051.21,1176
2011,00-01-23637-42706,5050.63,1927
2012,00-01-77817-16210,5038.89,4708
2012,07-01-28229-01404,5037.67,996
2012,00-01-79927-10211,5032.75,1855
2012,00-01-41570-05754,5027.95,1909
2012,07-02-28229-12345,5023.22,3587
2011,00-01-23637-42705,5011.34,1910
2012,88-01-99998-84621,5008.33,2521
2011,00-03-72600-00660,5005.65,4931
2011,00-05-41780-00017,5002.8,1170
2011,88-04-99998-10530,4999.24,3299
2012,00-01-77544-82612,4996.7300000000005,767
2012,00-01-83791-52001,4982.38,4999
2011,00-01-77544-82612,4978.59,776
2011,00-02-41780-01105,4978.49,2692
2011,88-04-99998-11245,4970.04,5113
2012,88-01-99998-85951,4938.2699999999995,1899
2011,00-01-77581-11144,4930.51,1649
2012,00-01-41780-03167,4920.8,2044
2012,07-01-81138-71508,4918.3,1786
2012,00-02-41780-00302,4902.35,3559
2011,00-02-20685-17200,4892.42,1669
2011,07-01-20495-90143,4867.48,4456
2011,07-01-55355-10100,4864.13,1716
2012,08-01-54615-00205,4862.75,655
2011,00-01-41780-01129,4860.72,1346
2011,07-01-81138-71012,4858.61,1840
2012,00-01-28400-02692,4848.5,4453
2011,00-01-72600-00396,4848.3,1859
2012,08-01-14226-01090,4834.22,1432
2012,00-05-72600-00100,4822.47,689
2011,00-01-37000-50875,4805.75,3104
2011,07-01-55355-10301,4800.06,1981
2011,88-04-99998-11528,4784.05,2477
2011,00-01-37000-81053,4779.84,1588
2012,08-01-50668-00083,4763.5199999999995,1698
2011,00-01-28400-02819,4760.95,4661
2012,00-02-16000-42567,4757.64,1234
2011,00-01-77975-08889,4756.65,1766
2012,88-01-99998-85112,4755.82,2658
2011,00-01-41780-01327,4751.99,1440
2011,08-01-97580-00051,4748.41,1202
2012,00-04-77975-02231,4724.05,4695
2012,00-01-37000-26742,4704.72,2847
2012,08-01-43571-00221,4694.03,1331
2012,00-01-41331-04941,4688.79,2597
2012,06-01-35992-04440,4683.9,1713
2012,00-01-72170-04101,4679.14,1616
2011,00-06-41780-00374,4672.8,4720
2012,00-02-41262-27640,4666.89,4735
2012,00-01-28400-02816,4663.54,3696
2011,07-02-28229-12345,4659.81,3619
2012,08-01-14226-01093,4657.79,1364
2012,07-01-55355-10100,4655.26,1493
2011,08-01-15871-01000,4650.0,2493
2012,07-01-54918-08201,4629.55,1651
2012,00-04-46555-00020,4625.89,1711
2011,00-01-77975-02942,4624.55,1866
2012,00-01-77581-11144,4622.54,1546
2011,08-01-93594-00212,4617.5,2671
2012,00-04-72600-00204,4614.26,4663
2012,00-01-41780-01327,4611.06,1460
2012,06-02-35992-04310,4606.37,1482
2011,08-01-50668-00081,4594.78,1884
2011,00-01-72600-00530,4583.78,1350
2012,88-01-99998-84674,4570.0,2387
2011,08-01-43571-00236,4566.67,1337
2011,08-01-91056-00028,4559.3,270
2011,00-01-77817-16210,4553.31,4101
2012,88-01-99998-85107,4550.45,3025
2012,88-01-99998-86227,4537.96,2477
2012,00-01-41780-01337,4526.86,1409
