YEAR,UPC,DOLLARS,UNITS
2011,00-04-77975-02248,142443.11,56835
2011,00-01-28400-07187,142293.09,38224
2011,00-02-28400-07166,141637.05,36949
2011,00-01-77975-08822,140939.84,43230
2011,00-01-28400-01775,139542.05,35510
2012,07-03-28229-12375,139381.72,32795
2011,07-03-28229-12375,139142.36,33613
2012,00-01-28400-01775,138030.96,33313
2011,00-02-77817-11150,137830.8,48105
2012,00-04-41780-00261,136340.76,50151
2012,00-03-72600-00662,136019.35,54099
2011,00-01-41262-28148,135934.49,59070
2012,08-01-43571-00015,135788.25,38082
2011,00-01-37000-23004,135454.41,77370
2012,00-02-28400-07187,135111.46,35971
2011,00-01-41262-27620,134606.04,13036
2011,00-02-77817-10930,134436.6,55077
2011,00-03-72600-00680,134433.62,54328
2012,00-01-72600-00584,133871.53,51768
2012,00-02-77817-11150,133499.88,42967
2012,88-01-99998-85019,133363.79,100942
2012,00-01-41262-27620,133049.86000000002,12897
2011,00-01-28400-07363,131287.81,38295
2012,00-01-28400-03952,131176.44,43758
2012,00-02-28400-07185,130787.42,34386
2011,00-01-41262-28451,129776.91,58500
2012,00-03-28400-07362,129256.07,35253
2012,00-02-77817-10930,127741.58,48859
2011,00-03-28400-07361,126584.64,36989
2012,00-01-24100-51445,125507.41,41917
2012,00-03-72600-00680,125392.1,49746
2012,00-01-28400-03331,123914.71,40295
2012,00-01-15665-25007,123761.3,34219
2012,00-05-28400-00210,123338.37,62231
2011,00-01-41262-28149,123162.22,53047
2011,00-01-28400-08298,123018.94,28711
2012,00-02-28400-07735,123014.31,40573
2011,00-01-77975-08003,122900.36,43669
2012,00-01-77975-08003,122229.15,42710
2012,00-01-28400-07363,121538.6,33059
2011,00-03-77975-02275,120207.34,39797
2012,00-03-77975-02225,119261.94,45285
2012,00-01-28400-03419,118934.23,47794
2011,00-01-28400-07186,118777.42,31423
2011,00-01-28400-08718,118628.56,17263
2011,00-01-41262-28143,118535.08,50169
2011,88-04-99998-11529,118493.04,35738
2011,00-01-16000-15990,118209.0,48507
2012,00-03-28400-04770,117484.37,41924
2012,00-02-41262-28148,116930.54,50742
2012,00-02-28400-05658,116911.6,48143
2012,00-03-77975-02275,116457.43,36935
2011,00-01-77975-08005,116355.05,41515
2012,00-01-77975-08786,116308.97,44095
2012,00-01-16000-15990,115704.39,45995
2011,00-01-28400-05658,112814.16,47206
2011,00-01-82666-70010,111637.96,44438
2011,00-03-77975-02225,111430.63,44683
2012,00-04-28400-02203,110551.51,34408
2012,00-01-77975-02003,108471.67,40948
2012,00-01-28400-03416,108311.34,44367
2011,00-02-28400-07735,108222.19,36315
2011,00-02-41262-28140,107831.25,44605
2012,00-01-77975-08005,107774.29,37807
2011,88-04-99998-10577,107306.44,78534
2011,00-02-28400-08387,106938.54000000001,11527
2011,00-01-28400-08404,106694.13,35041
2012,00-02-28400-04767,106613.34,38063
2012,00-03-28400-07361,105939.91,28838
2011,00-01-16000-15980,105822.3,30709
2012,00-01-82666-70010,105727.74,41152
2012,00-02-41262-28452,105532.71,50876
2011,00-01-28400-07122,105349.19,35616
2012,00-01-41262-28469,104175.71,50541
2012,00-02-28400-08404,104038.62,32538
2012,00-01-28400-07186,103822.15,27326
2011,00-01-28400-03419,103680.2,41306
2011,08-02-52772-00104,102850.05,37955
2011,00-03-41780-00261,102556.95,39416
2011,00-04-28400-02203,102543.27,31728
2012,00-01-41262-28441,102240.06,50179
2011,00-01-77975-08786,101421.02,37708
2011,00-03-41780-00118,101080.01,37666
2011,00-01-24100-51445,99876.84,34279
2011,00-06-77975-02237,99549.34,39439
2012,00-06-77975-02237,99320.47,36778
2011,00-01-28400-07179,98990.66,26253
2012,00-03-28400-08290,98989.07,32723
2011,00-01-77975-02003,97835.81999999999,39115
2011,00-01-28400-07167,97790.48,25909
2011,00-01-41262-28441,97730.33,47258
2011,00-01-41262-28141,97684.96,40880
2012,00-03-41780-00118,97500.74,35867
2012,00-03-77817-12493,95587.96,30427
2011,00-01-28400-08320,95205.62,38659
2011,00-01-28400-08323,95076.84,38811
2012,00-03-77817-10580,94869.95,30393
2012,00-02-15665-77046,93904.3,14530
2012,00-02-41262-28149,93131.49,40004
2011,00-01-41262-28469,91719.93,44036
2011,00-02-41780-00068,91577.4,35980
2011,00-03-28400-04770,91338.42,33995
2012,00-02-41780-00068,91233.96,34738
2011,00-03-72600-00661,91158.03,37609
2012,00-01-37000-18828,90938.61,29419
2011,00-01-77975-08008,90708.61,32532
2011,00-02-28400-04767,90500.37,34006
2012,00-01-28400-07179,89548.36,23758
2012,00-02-77817-14215,88894.45,28816
2011,00-04-28400-03332,88836.38,26304
2012,00-01-16000-15980,88550.46,24391
2012,00-01-77975-08008,88404.8,31315
2012,00-09-28400-00308,88313.58,9838
2011,07-02-55355-00502,87739.78,22168
2012,00-02-41262-28141,87606.55,36521
2012,00-01-41780-00223,87559.21,13647
2011,00-01-41780-00223,87536.32,13897
2011,00-02-77817-10580,87244.02,28958
2011,00-03-28400-08290,86705.28,28984
2011,00-01-28400-00289,86376.42,12952
2012,88-01-99998-83682,86296.28,39255
2011,00-01-37000-18828,86126.55,27319
2011,00-02-77817-12493,85068.41,28256
2011,00-02-41262-28452,84980.65,40329
2012,00-03-72600-00661,84909.95,34211
2011,00-02-77817-10700,84852.18,28133
2012,00-01-28400-07167,84635.14,22405
2011,00-02-28400-08292,84186.9,28209
2012,00-03-28400-08293,84008.75,27711
2011,00-01-28400-02215,83900.02,26190
2012,00-01-41262-27304,83730.2,42192
2011,00-01-28400-07134,82197.76,21196
2012,00-01-37000-18830,82155.01,12757
2012,00-02-77817-10700,81721.16,26296
2011,00-01-28400-05181,81575.57,20455
2011,00-06-41780-00005,80785.06,78663
2012,00-01-28400-03922,80219.15,26579
2011,08-01-52772-00125,80063.84,29855
2011,00-01-82666-70020,79795.74,32197
2012,00-01-28400-00944,79057.21,19630
2012,00-02-28400-08292,78885.74,25983
2011,00-01-37000-18830,78769.41,12175
2012,08-02-52772-00104,78667.98,26878
2011,00-02-28400-08399,78556.19,28762
2012,00-01-28400-07193,78057.6,20608
2012,00-01-28400-03397,77781.89,24772
2012,00-01-28400-02796,77268.56,68696
2011,00-01-28400-07193,77182.99,20385
2011,00-01-28400-08343,77161.9,30034
2011,00-01-28400-06408,77156.42,22996
2011,00-01-28400-03549,76770.76,24664
2011,00-05-41780-00266,76728.72,29130
2011,88-04-99998-09721,76072.4,33191
2012,88-01-99998-85014,75977.08,16963
2012,00-05-28400-00967,75432.03,30496
2011,00-02-77975-08521,75295.98,20141
2012,00-06-41780-00005,75200.34,74734
2012,00-04-28400-01234,74508.85,26425
2011,00-01-77817-14215,74462.93000000001,27023
2011,00-01-28400-08346,74243.05,28676
2011,00-01-30684-01701,73936.8,38357
2011,00-01-77975-08755,73905.46,12631
2011,00-01-77975-08215,73874.31,19096
2011,00-01-84114-10812,73848.5,23738
2012,00-01-28400-08295,73772.82,21269
2011,00-01-28400-03884,73685.99,28006
2011,00-01-28400-08295,73647.89,21534
2011,00-01-77817-16370,73490.35,28202
2012,00-03-72600-00867,73414.67,10616
